,p1_amplitude,p1_center,p1_half_width,r2_score,fwhm,height,auc
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0
mean,129850.32795761792,813.7159629969426,22.402384908712452,0.9953639958679624,52.7535850395349,2312.2101847988365,129850.32786320882
std,8207.93308348088,0.061698903433563254,0.03989407402929513,0.00012757725188735418,0.09394336520213284,143.30655228531404,8207.933073904118
min,104913.78638692136,813.4866965638813,22.308811957769535,0.9949407814570168,52.53323757898184,1861.7735744753154,104913.78630233227
25%,122978.19182123705,813.6651838129729,22.37461195901645,0.9952730546404475,52.688184740881134,2192.8736170652055,122978.19173359335
50%,129022.02839590167,813.7110135617869,22.395768280321725,0.9953609123224918,52.73800407036991,2301.777052713057,129022.02830786968
75%,135867.4944722686,813.7640097400075,22.43005529211248,0.9954513595072253,52.818743813019,2416.354153983636,135867.49437079686
max,151105.99865221753,813.868248807999,22.53389027901786,0.9958028069593868,53.06325652155931,2681.959592254137,151105.99852658334
