,p1_amplitude,p1_center,p1_half_width,r2_score,fwhm,height,auc
0,104913.78638692136,813.6303218121659,22.481007229110894,0.9951014812745705,52.93872645559601,1861.7735744753154,104913.78630233227
1,148277.66680591262,813.4866965638813,22.44301011391834,0.9952612889575778,52.849250087087235,2635.7529684250912,148277.66669805764
2,150133.0488910272,813.5068000964418,22.448441414120726,0.9953458089222215,52.862039821674394,2668.0881662693446,150133.04878021235
3,150794.91216121044,813.5883715408401,22.430787661481865,0.9952378121785838,52.82046841109039,2681.959592254137,150794.91205068125
4,150832.1019652953,813.5790597174547,22.442391590980083,0.9952766027264018,52.84779357687392,2681.2339706237385,150832.10185286237
5,151105.99865221753,813.6522607980766,22.4958869173943,0.9949521076911046,52.97376544382959,2679.715269996299,151105.99852658334
6,150902.03836697683,813.6831362369152,22.45470219188174,0.9952808254557035,52.87678282664351,2681.006534351248,150902.03824881135
7,150414.68400576265,813.6328090563601,22.460939714484216,0.9952496904090924,52.89147106989916,2671.6058101711455,150414.6838883888
8,150033.20164164217,813.711139481482,22.451408116184986,0.9952065162311629,52.86902587116295,2665.9614082600083,150033.20152389418
9,149528.7961620359,813.695114244991,22.424305461820563,0.9953146427565986,52.80520399739206,2660.209879326203,149528.79605036927
10,149121.49634779425,813.7202700431728,22.437693636861642,0.9953074756438917,52.836730740345175,2651.380786843827,149121.49623311893
11,149073.0892169965,813.7583376594807,22.492400727490672,0.9952498585350833,52.96555609396374,2644.0733863516602,149073.08909012168
12,148334.42474510794,813.7594820394827,22.427415832464735,0.9951299038572373,52.81252836053243,2638.595284980928,148334.42463175734
13,148304.29289696552,813.7390404917068,22.46581798582956,0.9953455015095687,52.90295852104828,2633.5499040789873,148304.29277682965
14,147856.7803481458,813.7597574943924,22.42457939591219,0.9953712130690099,52.80584906288204,2630.4315493942213,147856.78023568567
15,147134.43766786542,813.7566572526437,22.41568759269256,0.9953891453684162,52.78491046642399,2618.6191186897204,147134.43755770026
16,146879.10064201482,813.7749412770003,22.462446122397946,0.9954483405003097,52.89501838945041,2608.6332287296573,146879.1005225228
17,146787.33250374632,813.7813777244241,22.431662801612184,0.995580024262035,52.82252920861147,2610.581020274572,146787.33239009464
18,146646.50533241784,813.7791095886531,22.434377348519007,0.9955192175064324,52.82892147808084,2607.7608636674604,146646.5052184313
19,146189.80794154183,813.8000307153895,22.45234579321497,0.9953019715273839,52.871233931828925,2597.559109804495,146189.80782378008
20,146211.3935946094,813.7999169321274,22.43183441317475,0.9952823895671825,52.82293332295897,2600.31817759168,146211.3934807901
21,146135.73041149214,813.7691354249589,22.445654370203098,0.995294916311607,52.855476834790785,2597.372327709159,146135.73029606533
22,145954.4581378907,813.7896912808677,22.46818722703489,0.995442063972575,52.9085376577301,2591.548831951308,145954.45801752523
23,145812.06999354347,813.7854368916782,22.430365018790944,0.9951883276146016,52.81947316360992,2593.386227310406,145812.0698807648
24,145569.73338401288,813.7643669690985,22.47862012893894,0.9952994411195275,52.9331052642616,2583.518074531737,145569.73326271627
25,145461.22990873232,813.7520881361858,22.46053875030359,0.9952856501575754,52.890526871409286,2583.6706507764593,145461.22979150864
26,145260.14673541396,813.7350053032812,22.462060874702406,0.9954808876780603,52.894111200454645,2579.924189206461,145260.14661860667
27,144846.57913394226,813.7579735388672,22.40114847568802,0.9955272217516313,52.75067346226465,2579.5741968656675,144846.5790280596
28,144977.48480895284,813.748503193636,22.466980529296322,0.9954729683863477,52.90569610170703,2574.3400774807733,144977.48469097778
29,144875.08874993547,813.7634153819998,22.45383403701184,0.9952322557057119,52.87473847815369,2574.0280338756265,144875.08863411812
30,144456.9558767891,813.7619854007368,22.452026095490716,0.9952992190332911,52.8704811012195,2566.805648284448,144456.9557616984
31,144375.37381300097,813.7320391468338,22.433189419330045,0.9954828105672221,52.826124118614594,2567.510120212234,144375.37370244827
32,144492.98332632583,813.7639732368342,22.488191858916508,0.9952870487438908,52.9556449658784,2563.316812300976,144492.9832040141
33,144188.13655131156,813.7626204583967,22.460548561134615,0.995334154051947,52.89054997415084,2561.0569504143755,144188.13643477432
34,143879.87206214378,813.7698755284606,22.468692610026782,0.995329298319507,52.909727743729825,2554.6552823782486,143879.87194403555
35,144003.64619433932,813.7482049609727,22.481453535918774,0.995307301274558,52.939777427813446,2555.4016294855637,144003.64607431708
36,143566.82384337272,813.7493858443095,22.483667886657503,0.9955988429035376,52.94499182531973,2547.39913357529,143566.82372323537
37,143173.8437680835,813.7633479854226,22.44315976200338,0.9955105814470575,52.84960248139759,2545.011501605916,143173.84365564486
38,143227.45766590015,813.747628381582,22.45266925514357,0.9955312395493192,52.87199562646219,2544.8862194522403,143227.45755211802
39,143396.6963479565,813.7587403776176,22.45917806298071,0.9953015589004197,52.88732269762634,2547.154881744289,143396.6962324463
40,143104.35997643304,813.7777497632514,22.4219192646873,0.9954274600311146,52.79958493255126,2546.1861239639024,143104.35986753012
41,143050.18113262556,813.7358049407808,22.432329481694588,0.99547858823753,52.82409912023314,2544.0409797590287,143050.18102313092
42,142826.90336211465,813.7624649847767,22.46225895221548,0.995380755981756,52.894577637352896,2536.6856757893934,142826.90324635385
43,142865.70580028743,813.6927475578127,22.46575402419729,0.9954905835729417,52.902807902914496,2536.980080959616,142865.7056860356
44,142702.99316335644,813.7551154263014,22.4364579723123,0.9954319762909515,52.833820972695456,2537.3995121223784,142702.99305278435
45,142342.49005423585,813.7299305608542,22.44482129752985,0.9953165083435429,52.85351509856085,2530.04632237837,142342.48994316888
